	English	Proto-form	Under	Type
aa		a(a)		base
aa-ang		a(a)&		base
aaggsak		a9!a3u9a3	a9!a(3)	base
aaggsaq		a9!a3u9a3	a9!a(3)	base
aakaq		a(a)ka3		base
aamar-		ama(C)-		base
aamaq		ama(C)-		base
aana		a(a)na		base
aarraaliq		a(a)-a(a)&li3		base
aarraangiiq		a(a)-a(a)&li3		base
aassaqe-		a(a)tsaq0-		base
aassaqeq		a(a)tsaq0-		base
aata		ata¹		base
aataak		a(a)ta(a)!		base
aatunaq		aatunaq		base
aavcaaq		aavcaaq		base
acaluq		acalu3		base
aci-		aci¹		base
acilquq		aci¹		base
acir-		acci3-	at03	base
acirneq		aci3n03	at(0)-	base
acitmun		at(0)-		base
acitmurte-		at(0)-		base
aciute-		acci3ut0-	at03	base
acivar-		aciva3-	aci¹	base
acliq		atli3	at(0)-	base
acuniar-		acu-		base
acuraq		acu3a3		base
aga-		a!(!)a(3)-		base
ag’anga-		a!(!)a!-		base
agaq		a!(!)a(3)-		base
agarte-		a!(!)a(3)-		base
agayu-		a!ayu-		base
agayuuq		a!ayuuq		base
agciun		a!ciun		base
age-		a!0-		base
agute-		a!0-		base
aggigte-		as(q)i!te-		base
aggsuun		a!cuun		base
agiirte-		a!0		base
agler-		a!l03(-)		base
agluma-		al!u-		base
agluquq		a!luqu3	a!lu3	base
aglur-		a!lu3		base
agluryaq		a!lu3yaq	a!lu3	base
agtar-		a!ta3-	a!0-	base
agtur-		a!tu3-		base
aguumaq		a!u(C)umma3-		base
agyaq		a!yaq		base
agyaur-		a!yu3-		base
agyumciar(ar)-		a!yumi3-		base
agyumir-		a!yumi3-		base
ai		ay		base
aiggaq		a9!a(3)		base
aipaq		a(C)ippa3		base
airraq		aya3a3a3		base
aisgaaq		a9!a(C)a3	a9!a(3)	base
aasgaaq		a9!a(C)a3	a9!a(3)	base
aitar-		a!itta3-		base
aitaur-		a!itta3u3-	a!itta3-	base
ak’a		akka		base
akaa		aka(a)		base
akag-		ak9a!-		base
akeka		aka(a)		base
akeq		ak03		base
akeqe-		ak0q0-		base
akerta		aki3	aki (-)	base
aki		aki(-)		base
aki-		aki(-)		base
akigar-		aki!a3-	aki(-)	base
akiite-		aki&it-	aki(-)	base
akilir-		akili3-	aki(-)	base
akimiaq		akimi!a3	aki(-)	base
akin		akin	aki(-)	base
akiqliq		akil(l)i3	aki(-)	base
akir-		akki3-		base
akitmiar-		akitmi(C)-		base
akitmite-		akitmi(C)-		base
akiur-		aki3u3-	aki(-)	base
akivigte-		akivi!-		base
aklegaq		akl0!a3	ak03	base
aklu(q)		aklu-		base
akmaliarall’err(aq)		akmalia3aq		base
akngirte-		at&i3-		base
aknirte-		at&i3-		base
aku(q)		aku(3)		base
akula		akul0	aku(3)	base
akulipeq		akulipaq	aku(3)	base
akulipraq		akulipaq	aku(3)	base
akuliq		akul(l)i3	aku(3)	base
akuliraq		akuli3a3(aku(3))		base
akulqucuk		akulqucuk	aku(3)	base
akultuqucuk		akulqucuk	aku(3)	base
akultu-		akultu-	aku(3)	base
akuqar-		aku3-¹		base
akuraq		aku3a3	aku(3)	base
akurte-		aku3-²		base
akurtur-		aku3-¹		base
akusrarte-		akp0t-		base
akutaq		akuta3	aku(3)	base
akute-		akut-	aku(3)	base
akwarpak		ak(k)uva3		base
akwaugaq		ak(k)uva3		base
ala-a		a(a)		base
alagnaq		ala!naq		base
ala-i		a(a)		base
alai(yug)-		ali!a-		base
alair-		alla3(-)		base
alaite-		ala3it0-	alla3(i3)-	base
alake-	(attracted to)	ala-		base
alake-	(notice)	ala&ka3-		base
alakiitaq		ulak(k)ita3-		base
