Akuzipik	English	Proto-form	Under	Type
aagtagh-		a!ta3-	a!0-	base
aagte-		na!0t-		base
aaghte-		a3a3-		base
aaghhaghte-		a3a3-		base
aahaangwliq		a(a)-a(a)&li3		base
aakaq		a(a)ka3		base
aakw		a9u!		base
aalghaq		al03		base
aane-		an0-		base
aanelgun		an0l!un	an0-	base
aange-		a&0-		base
a(a)ngeneq		a&0-		base
aanghuute-		an0q		base
aangqaq		a&qaq		base
aanngerquq		an(0)&anquq		base
angangarquq		an(0)&anquq		base
aantat		antat	an0-	base
aante-		an0t-	an0-	base
aanvik		an09vi!	an0-	base
aanvik		ann0vi!		base
aapte-		ap0t(0)-		base
aarragh-		at5a3-	at0-	base
aastu-		at0tu-	at(0)-	base
aatak		ata²		base
aataqun		ata²		base
aataw		ata²		base
aate-		at0-		base
aatneq		atn0q	at(0)-	base
aavgugh-		av0!-		base
aavneq		av0!-		base
aavnguq		av&uq	av0!-	base
aawyaq		a9u!ya3	a9u!	base
afsengaq		av0l&a3		base
agagh-		a!(!)a(3)		base
agalghu-		a!a-		base
agepsuq		apyu3		base
agepsugh-		apyu3		base
agha		a39a		base
aghenqigneq		a30nqi!-		base
aghhmagte-		a3(ca3)ma!-	a3ca3-	base
aghi-		a3i(t)-		base
aghilluk		a3in		base
aghinaq		a3ina3-	a3i(t)-	base
aghinwaaq		a33i(t)na3		base
aghinwaq		a!an3u(Ca3)		base
aghipa		a3ipa-		base
aghipate-		a3ipa-		base
aghiva-		a3iva-		base
aghliigh(yug)-		a3li(C)-		base
aghmig-		03mi!-	030-¹	base
aghnaasiq		a3nauciq	a3na3	base
aghnagan		030ni(3)-		base
aghnagan		(030ni(q)?		base
aghnaghaq		a3na3aq	a3na3	base
aghnaghuq		a3na3uq	a3na3	base
aghnalgun		a3nalyun	a3na3	base
aghnalqwaaq		a3nalqu(C)a3	a3na3	base
aghnaq		a3na3		base
aghnasalek		a3nacallu3	a3na3	base
aghnasqwaaq		a3nalqu(C)a3	a3na3	base
aghneghwaalek		a!an3u(Ca3)		base
aghneq		03n0q	030-²	base
aghpuk		qapu!		base
aghpuneq		q03tun0q		base
aghqella		qa90!-		base
aghqestaaq		0k03(tu)-		base
aghqelli-		0k03(tu)-		base
aghqetghaq		qi30t3a3-	qi30-	base
aghqitaghaq		0k03(tu)-		base
aghquugte-		qaku3-		base
aghqulluk		qaqutlu!		base
aghsaghmete-		a3ca3-		base
aghsaghte-		a3ca3-		base
aghsaan		a3ca3-		base
aghsug-		aqa!cu!-	aqa!-	base
aghsugh-		qakcu3-	qak0(3)-	base
aghte-		030-²		base
aghtugh-		a3tu3-		base
aghu-		a3u-		base
aghula-		a3ula-		base
aghulaqe-		a3ulla3-	a3ula-	base
aghulaghqugh-		a3ulla3-	a3ula-	base
aghulate-		a3ulat-	a3ula-	base
aghuliigh-		a3ula(&)i3-	a3ula-	base
aghuqe-		a3uq0-		base
aghvak		a3va!		base
aghveghagetaq		a3uv03(a3)		base
aghvepik		a3v0pi!	a3v03	base
aghveq		a3v03		base
aghvequte-		a3v03		base
aghvesak		a30vca!	a3v03	base
aghvetuq		a3v0tu(C)aq	a3v03	base
aghvig-		03(0)vi!-	030-¹	base
aghvigh-		a3vi3-		base
aghvinlek		a3vin(0)l0!	a3vi3-	base
aghyugh-		a3(0)yu-		base
aghyuqe-		a3yuq0-	a3(0)yu-	base
aghyuugh-		a3yu3-		base
agi		a!i		base
agitagh-		a!itta3-		base
agitagha-		a!itta3-		base
aglagh-		a&il3a3-	a&it-	base
agleghu-		a!l03(-)		base
agleq		a!l03(-)		base
aglekesegaq		a@!i3		base
aglug-		a!lu!-		base
agluk		a!lu3		base
agtugh-		a!tu3-		base
agugh-		a!u3-		base
agzighte-		a!$i(3)-		base
akamka		ak9a!-		base
akangquq		ak0qu3		base
akeqe-		ak0q0-		base
akevegte-		akivi!-		base
aki-		aki-		base
aki		aki(-)		base
akigh-		akki3-		base
akiingqwaghte-		aki3u3-	aki-	base
akileghtugh-		akili3-	aki-	base
akilghuu(gh)-		aki3u3-	aki-	base
akimigaq		akimi!a3	aki-	base
akin		akin	aki-	base
akingite-		aki&it-	aki-	base
akiniigh-		akini(C)a3-	aki-	base
akisqaghte-		aki3-	aki-	base
akite-		aki-		base
akivigte-		akivi!-		base
aklegaq		akl0!a3	ak03	base
aklek		akl0k	ak03	base
aklu-		aklu-		base
aklungi		aklu-		base
aklunaq		aklu-		base
akmag-		natma!-		base
akmaliighaq		akmalia3aq		base
aksaqe-		a(a)tsaq0-		base
akugaaq		ak(k)uva3		base
akughaq		aku3a3	aku(3)	base
akughte-		aku3-²		base
akughtugh-		aku3-¹		base
akule-		akul0-	aku(3)	base
akuliq		akul(l)i3	aku(3)	base
akulqusuk		akulqucuk	aku(3)	base
akultu-		akultu-	aku(3)	base
akuq		aku(3)		base
akuutaq		akuta3	aku(3)	base
akuute-		akut-	aku(3)	base
alangghu(yug)-		ala&3u-		base
aleq		al03		base
alghapak		al3apak	al03	base
alguma-		al!u-		base
ali-		ali		base
aliftugh-		alivtu3-		base
aliga-		ali!a-		base
alignagh-		ali!na!h-	alik0-	base
alignaq		ali!na!h-	alik0-	base
aliigh-		alla3(i3)-		base
aliite-		ala3it0-	alla3(i3)-	base
alike-		alik0-		base
alinge-		ali&0-		base
alingite-		ali&it-		base
alingnaq		ali&0-		base
alingtagh-		ali&ta3	ali&0-	base
aliq		a9i3		base
alla		atla		base
allakagh-		atlakka3	atla	base
allayug-		atlayu!-	atla	base
alleg-		a@0!-²		base
allighaq		atli3a3	at(0)-	base
allighta		a@i3t0		base
allngik		a@&i!		base
allngugh-		a&@u3-		base
allughqi-		a@u3-		base
allungak		a@u&ak		base
alpa		alpa(!)		base
alpag-		alpa!-		base
alpagh-		alpa!-		base
alqegkaq		alq0!kaq		base
alqimagh-		alqima3-		base
alqutaq		alqutaq		base
alunge-		alu!-		base
alungutelleq		alukt0tn0q		base
aluq		alu(3)		base
ama		amma		base
amaa		amaqu3		base
amagh-		ama3-		base
amaghtu		ama3tu3		base
ameltu-		am0l0		base
amestaaghhaq		amit-		base
amigh-		ami3		base
amighaq		ami3a3	ami3	base
amik		amik		base
amikluk		amitatuk	amit-	base
aminaqe-		amina3		base
aminghaq		amin3aq	ami3	base
amiq		ami3		base
amitelqaq		amil0qa3	amit-	base
amla		am0l0		base
amllugh-		am@u3-		base
amqeghte-		al0mqa3-		base
amu-		amu-		base
amyak		amyak		base
anaana		ana(a)na		base
anaavak		ana(C)uva!		base
anag-		anna!-		base
angayuqaq		a&ayuqa3	a&ayu!	base
angegh-		a&03-	a(a)&	base
anghungite-		an(0)3uta3		base
angi-		a&i-		base
angiqe-		a&i-		base
angigh-		an0!i3-	an0-	base
angiite-		a&it-		base
angite-		a&i-		base
anglaaq		anlu(C)a3	anlu	base
anglanagh-		a&la-		base
angli-		a& (0)li-	an0-	base
anglisagh-		a&lica3-	a&0-	base
anglu		anlu		base
angqigh-		at&i3-		base
angtaaq		a&tu3(a3)	an0-	base
angu-		a&u-		base
angukaq		a&ukaq		base
angumaasqitaghte-		a&uma-	a&u-	base
anguugh-		a&u9u3-		base
anguyu-		a&uyu(3)-	a&u-	base
angvalluqegtaq		a&valu3-	a&va-	base
angvaneq		a&van0q	a&va-	base
angwaagh-		a&u9a3-		base
angwaaghun		a&u9a3un	a&u9a3-	base
angyaq		a&yaq		base
angyagh-		a&yaq		base
angyii-		a!yu3-		base
anighta		ani3ta		base
anigu		ani!u		base
aningwaaq		ani&uaq		base
anipa		annu3aq0-		base
anughaqe-		anipa		base
anuqa		anuq0		base
anuqligh-		anuqli3-	anuq0	base
anusigaa-		annut-		base
anusiyaa-		annut-		base
anusimighte-		anucimi3-	annut-	base
anusimingllagh-		anucimi3-	annut-	base
apa		ap(p)a¹		base
apagh-		apa3-		base
apalluq		apa@uk		base
apegh-		ap03-		base
apeghtugh-		ap03-		base
apenghaan		ap0-		base
apengqe-		ap0&0-		base
apengte-		ap0&0-		base
apetaq		ap03-		base
apumek		apun	ap0-	base
aqara		aqaya!		base
aqavzik		aq0v9i!		base
aqelqaq		aq0lqaq		base
aqelqaghte-		aq0lqaq		base
aqergiiq		aq09!i3		base
aqesgiigh-		aq0st0-		base
aqevleghaq		aq0vl03-		base
aqfagh-		aqva-		base
aqfaate-		aqva-		base
aqfaqugh-		aqvaqu3-	aqva-	base
aqnigh-		at&i3-		base
aqnighte-		at&i3-		base
aqii-		aqu(C)i-		base
aqlagh-		aqla-		base
aqlagha		aqla-		base
aqniqe-		at&iq0-	at&i3-	base
aqsa		aq(0)ya3		base
aqsamuk		aqyamu!	aq(0)ya3	base
aqsaquq		aq(0)yaqu3	aq(0)ya3	base
aqume-		aqum0-		base
aqumga-		aqum!a-	aqum0-	base
aquutaq		aqut-	aqu	base
aquutagh-		aqut-	aqu	base
aragh-		a9(9)a(a)		base
asak		acca!		base
asi-		aci¹		base
asiiq		aci¹		base
asitmun		at(0)-		base
asivagh-		aciva3-	aci¹	base
asivaq		aciva3-	aci¹	base
asunan		acu		base
asunaq		acu		base
asute-		acu-		base
ata		ata¹		base
ataasiq		ata3uci3		base
